id,name,phone,email,cuisine_type,price_range,vat_code
31,Nectar Trail,229408134,Nectar@aol.com,american,$$$$,17944706
32,Sunny Crunch,216447043,Sunny@protonmail.com,japanese,$$$$,36727441
33,Tender Tales,513108473,Tender@aol.com,american,$$,52703062
34,Sunny Trail,733658619,Sunny@hotmail.com,thai,$$,52254612
35,Lemon Trail,801435107,Lemon@icloud.com,american,$$,70653288
36,Urban Kettle,855811151,Urban@zoho.com,japanese,$$$$,57775505
37,Ocean Delights,488208931,Ocean@gmx.com,italian,$$$$,40412620
38,Cheese Cuisine,224267493,Cheese@protonmail.com,thai,$,82539182
39,Fusion Twist,929761695,Fusion@mail.com,thai,$$,96048243
40,Table Plate,889885912,Table@gmail.com,mexican,$$,58909603
41,The Haven,760979945,The@gmx.com,vegetarian,$$,74764125
42,Silver Bliss,722432713,Silver@aol.com,mexican,$$$,76120352
43,Savor Bistro,237255475,Savor@aol.com,italian,$$$,16083214
44,The Moments,292977367,The@hotmail.com,vegetarian,$$$$,48732080
45,Copper Delights,945112315,Copper@gmail.com,thai,$$$$,75318265
46,Table Moments,780306362,Table@gmx.com,thai,$$$,81414179
47,Urban Grind,421411737,Urban@hotmail.com,thai,$,95603373
48,Table Cuisine,141393411,Table@aol.com,thai,$,38572542
49,Global Edge,770180607,Global@aol.com,mexican,$$$$,85235120
50,Savor Fusion,943583970,Savor@hotmail.com,thai,$$$$,79833308
51,Red Seasons,867837577,Red@gmx.com,american,$$$$,66670717
52,Mango Cuisine,192146692,Mango@protonmail.com,italian,$$$$,51258487
53,Cheese Kettle,765983964,Cheese@hotmail.com,arabic,$$$,83393288
54,Fusion Spoon,119022929,Fusion@hotmail.com,italian,$$$$,60307179
55,Harbor & Fresh,984987995,Harbor@zoho.com,american,$$,65989888
56,Copper & Fresh,627454141,Copper@yahoo.com,japanese,$$,67322524
57,Ocean Grind,429990105,Ocean@mail.com,thai,$,25463159
58,Brick Seasons,171648887,Brick@hotmail.com,mexican,$$,52017473
59,Whisk Fusion,626177557,Whisk@gmail.com,arabic,$,79445320
60,Crisp Twist,346121930,Crisp@zoho.com,mexican,$$$$,29170201
61,Sip Kettle,397103691,Sip@outlook.com,american,$,97424709
62,Wholesome Fusion,680563325,Wholesome@icloud.com,vegetarian,$$,21641104
63,Cheese Delights,920174278,Cheese@outlook.com,arabic,$$$,81925968
64,Golden Wok,843758845,Golden@aol.com,american,$,59073909
65,Salt Plate,600892239,Salt@zoho.com,thai,$$$$,28721117
66,Plated Harvest,403617348,Plated@gmx.com,american,$$,35193421
67,Ocean Eats,608194655,Ocean@gmail.com,american,$$,55872115
68,Urban Spoon,569935015,Urban@outlook.com,japanese,$$$$,25752989
69,Plated Perfection,912917612,Plated@outlook.com,italian,$$$$,78401289
70,Golden Tales,116025770,Golden@aol.com,arabic,$$$,49379473
71,Minty Bites,390145109,Minty@gmail.com,japanese,$$$,48153693
72,Ocean Grind,448646865,Ocean@zoho.com,vegetarian,$$$,93790048
73,Plated & Sugar,996877514,Plated@gmail.com,italian,$,18060419
74,Wholesome Street Cafe,324243303,Wholesome@aol.com,vegetarian,$$$$,18915246
75,Lemon Fusion,762210645,Lemon@zoho.com,japanese,$$$$,13249478
76,Urban Spoon,189233801,Urban@hotmail.com,arabic,$$,18510813
77,The Pepper Grill,337703100,The@yahoo.com,italian,$$,68839632
78,Global Seasons,329663663,Global@outlook.com,japanese,$$$,48206005
79,Urban Bistro,422230180,Urban@zoho.com,thai,$$$,34468823
80,Minty Nook,767702555,Minty@gmx.com,arabic,$,12063730
81,Chop Edge,239103952,Chop@hotmail.com,italian,$$$,75269197
82,Spice Please,228989351,Spice@gmx.com,vegetarian,$,11518150
83,Crafted & Fresh,327107961,Crafted@yahoo.com,japanese,$$,26023610
84,Cheese Eats,928716251,Cheese@gmx.com,thai,$$,71321547
85,Crafted Moments,975922306,Crafted@gmx.com,american,$$$,79234798
86,Sip Moments,243670495,Sip@mail.com,japanese,$$$,51186060
87,Pasta Bliss,371248526,Pasta@outlook.com,italian,$$$$,77925485
88,Taste Seasons,476483243,Taste@outlook.com,japanese,$$$$,74604812
89,Taste & Sugar,799828219,Taste@aol.com,american,$$$,80421097
90,Red Delights,914190119,Red@gmail.com,american,$$$,50859697
91,Silver & Savor,359701943,Silver@protonmail.com,thai,$$$$,24980180
92,Crispy Fusion,163752044,Crispy@outlook.com,arabic,$$$$,91849311
93,Cheese Tales,558816240,Cheese@hotmail.com,arabic,$,63971345
94,Zen Harvest,269049180,Zen@zoho.com,thai,$$$,55018472
95,Minty Delights,585064874,Minty@aol.com,mexican,$$,64595764
96,Harbor Harvest,717126945,Harbor@mail.com,japanese,$$$$,34191543
97,Plated Harvest,415214184,Plated@aol.com,italian,$,84721786
98,Urban Kitchen,812705623,Urban@yahoo.com,japanese,$$,18000935
99,Maple Gourmet,301306561,Maple@hotmail.com,arabic,$$$,73087312
100,Wholesome Nook,202328645,Wholesome@hotmail.com,italian,$$$$,61691780
101,Epicurean Grind,795959374,Epicurean@icloud.com,italian,$$,64551791
102,Maple Greens,833496248,Maple@zoho.com,japanese,$$$$,82558611
103,Epicurean Delights,750081670,Epicurean@icloud.com,arabic,$$$$,87862361
104,Taste Eats,596974597,Taste@gmx.com,arabic,$$,71134253
105,Zen Spoon,732074299,Zen@aol.com,mexican,$$,10293973
106,Crispy Grind,654230215,Crispy@yahoo.com,american,$$$$,80981459
107,Blue Trail,489778904,Blue@mail.com,japanese,$$$,89595279
108,Lemon Edge,839106806,Lemon@gmail.com,arabic,$,51149745
109,Lemon & Savor,105220641,Lemon@outlook.com,arabic,$$$$,19490968
110,Spice Please,907174475,Spice@gmail.com,american,$$$$,60831036
111,Whisk & Ladle,444850682,Whisk@aol.com,japanese,$$$$,22956269
112,Crisp Bistro,452059756,Crisp@protonmail.com,arabic,$,70299353
113,Bella Please,241128797,Bella@aol.com,vegetarian,$$,77677756
114,Savory Fusion,883046518,Savory@hotmail.com,thai,$,39975852
115,Pasta Moments,580134639,Pasta@mail.com,american,$$$,93371232
116,Nectar Grind,439456306,Nectar@aol.com,american,$$$$,67837915
117,Spice Crunch,612414881,Spice@hotmail.com,american,$$,24081914
118,Mango Tastes,783066613,Mango@outlook.com,mexican,$,31437257
119,Epicurean Delights,595015544,Epicurean@aol.com,italian,$$,23699765
120,Maple & Fresh,676541721,Maple@gmx.com,vegetarian,$$,82480567
121,Wholesome Kettle,120409420,Wholesome@icloud.com,vegetarian,$$,47592781
122,Silver Roaming Fork,103725375,Silver@zoho.com,thai,$,17445565
123,Lemon Haven,103759495,Lemon@outlook.com,vegetarian,$$$,51150043
124,Silver Bliss,665883594,Silver@icloud.com,vegetarian,$$$$,55216641
125,Basil Please,509021022,Basil@outlook.com,american,$$$,31732288
126,Twisted Crunch,444430446,Twisted@yahoo.com,vegetarian,$$$$,56936553
127,Fusion Kettle,784360745,Fusion@gmx.com,american,$$$$,84346013
128,Urban Haven,675178702,Urban@gmx.com,thai,$$$,76122372
129,Lemon Delights,617246301,Lemon@gmx.com,thai,$,72165608
130,Eternal Spoon,325130258,Eternal@gmail.com,arabic,$,98670495
131,Cheese Greens,433880519,Cheese@icloud.com,japanese,$$$,42710504
132,Copper Zest,132772171,Copper@hotmail.com,italian,$$,73969341
133,Bella Nook,313718180,Bella@mail.com,italian,$$$,20802873
134,Sunny Street Cafe,389879375,Sunny@gmx.com,american,$$$$,61427038
135,Minty Greens,827470873,Minty@protonmail.com,vegetarian,$$$,34552404
136,Gourmet Please,277003767,Gourmet@outlook.com,italian,$,29152144
137,Global Delights,342817869,Global@mail.com,american,$,63312225
138,Basil Tales,464370994,Basil@outlook.com,american,$$$$,68270822
139,Urban Street,860074563,Urban@yahoo.com,japanese,$$,41553168
140,Fusion Nook,526088791,Fusion@icloud.com,arabic,$$$,30349172
141,Savor Harvest,674418543,Savor@outlook.com,arabic,$$$,68648791
142,Copper Gourmet,896764279,Copper@mail.com,arabic,$$,87955192
143,Crisp Tales,152843798,Crisp@yahoo.com,mexican,$$$$,91124618
144,Brick Street Cafe,109173568,Brick@gmail.com,arabic,$$$,88547091
145,Mosaic Kitchen,719509429,Mosaic@yahoo.com,mexican,$$$$,29718143
146,Salt Garden,149300349,Salt@outlook.com,mexican,$$,83250111
147,Pasta Kitchen,191682802,Pasta@outlook.com,thai,$$,61646342
148,Epicurean Trail,844785309,Epicurean@mail.com,thai,$,15731385
149,The Fusion,511244737,The@mail.com,american,$$$$,69283535
150,Urban Crunch,232401656,Urban@gmx.com,thai,$,55009436
151,Savor Gourmet,594159671,Savor@outlook.com,italian,$$$$,85866177
152,Tender Street,253135093,Tender@zoho.com,arabic,$$$$,91374374
153,Wholesome Tastes,447013767,Wholesome@gmx.com,thai,$$$,91991814
154,Bella Fusion,622334359,Bella@aol.com,japanese,$$$$,40405209
155,The Delights,559722467,The@outlook.com,arabic,$$,61830823
156,Salt Palace,847915792,Salt@gmail.com,mexican,$$$$,42933389
157,Plated Pepper Grill,527384110,Plated@gmx.com,american,$$$,83387407
158,Golden Perfection,725030204,Golden@outlook.com,italian,$,94422752
159,Crispy Palace,241235745,Crispy@hotmail.com,italian,$$$$,16723685
160,The & Ladle,831590363,The@aol.com,thai,$,17178276
161,Crisp Wok,589719735,Crisp@gmx.com,vegetarian,$$$,43196499
162,Urban Nook,918218895,Urban@outlook.com,thai,$$$,20066459
163,Taste Cuisine,213512932,Taste@zoho.com,arabic,$,18843737
164,Ocean Grind,893338898,Ocean@gmail.com,italian,$$$$,23120368
165,City Street Cafe,110210030,City@icloud.com,vegetarian,$,35433786
166,Sip & Fresh,520143838,Sip@protonmail.com,vegetarian,$,77259184
167,Tender Delights,825808993,Tender@icloud.com,thai,$$,71594903
168,Nectar Twist,958724250,Nectar@outlook.com,american,$$,13843320
169,Table & Savor,775886727,Table@zoho.com,american,$$,54132477
170,Minty Chop House,144947825,Minty@icloud.com,mexican,$$$$,52332003
171,City & Sugar,652577680,City@aol.com,arabic,$,69243498
172,Brick Perfection,677130570,Brick@mail.com,japanese,$$$$,33101592
173,Savor View Bistro,970768744,Savor@icloud.com,american,$$$,58527376
174,Harbor View Bistro,884638353,Harbor@hotmail.com,arabic,$$$$,48713267
175,Mango Fare,434265958,Mango@hotmail.com,mexican,$,73071282
176,Red Seasons,367813693,Red@hotmail.com,italian,$,68075836
177,Crisp Harvest,982963526,Crisp@icloud.com,arabic,$$,22393402
178,Spice Tastes,942076755,Spice@yahoo.com,japanese,$$,79821041
179,Basil Oven,945849073,Basil@protonmail.com,arabic,$$$,47444712
180,Mosaic Please,670539938,Mosaic@aol.com,mexican,$,59018190
181,Sip Bites,699451833,Sip@zoho.com,italian,$$,42923309
182,Maple Plate,294898185,Maple@protonmail.com,vegetarian,$,47285050
183,Urban Chop House,624463216,Urban@protonmail.com,vegetarian,$$$,38919860
184,Crisp Bistro,722085209,Crisp@yahoo.com,thai,$$$$,38880570
185,Copper Plate,887313840,Copper@icloud.com,american,$$$,84823946
186,Wholesome Wok,949470372,Wholesome@mail.com,thai,$$$$,49093809
187,Cheese Tales,242281122,Cheese@aol.com,american,$$$,69714174
188,Maple Tales,802855506,Maple@outlook.com,thai,$$$,71203597
189,Basil Grind,200372536,Basil@gmail.com,american,$$$,31942667
190,Spice Trail,903490030,Spice@zoho.com,italian,$,78945618
191,Tender & Savor,471537847,Tender@hotmail.com,vegetarian,$,55280118
192,Red Chop House,744195589,Red@aol.com,italian,$$$,18697053
193,Savory Harvest,817806571,Savory@mail.com,mexican,$$$$,38099903
194,Blue Eats,587631436,Blue@icloud.com,american,$$$$,52760578
195,Gourmet & Fresh,192221384,Gourmet@yahoo.com,japanese,$$$$,95256310
196,Red Palace,193805119,Red@hotmail.com,vegetarian,$$$$,23723758
197,Savor Delights,905621694,Savor@icloud.com,japanese,$$$$,96899505
198,Savor Zest,411267678,Savor@protonmail.com,vegetarian,$$$$,93414286
199,City Crunch,996203367,City@hotmail.com,italian,$,40747222
200,Bella Street,820790181,Bella@yahoo.com,arabic,$,70676885
201,Eternal Wok,409249254,Eternal@aol.com,american,$$,17574174
202,Crafted Fare,309548671,Crafted@aol.com,vegetarian,$$$$,45622332
203,Savory Wok,242109720,Savory@gmail.com,japanese,$$,53717906
204,Savor Greens,741099076,Savor@outlook.com,american,$$$$,63848525
205,Savor Edge,234388832,Savor@outlook.com,arabic,$$,65541960
206,Bella Greens,961324588,Bella@protonmail.com,vegetarian,$$,34963149
207,Savory Oven,784975301,Savory@icloud.com,american,$$$$,56507174
208,Ocean Oven,513803880,Ocean@yahoo.com,american,$$$$,10833835
209,Mosaic Fare,611070445,Mosaic@gmx.com,vegetarian,$$,53320055
210,Table Cuisine,523996112,Table@yahoo.com,arabic,$$$,11240260
211,Eternal Trail,250386081,Eternal@gmail.com,arabic,$$$,23884680
212,Crafted Roaming Fork,185762955,Crafted@icloud.com,japanese,$$,70016600
213,Gourmet Perfection,747686881,Gourmet@zoho.com,vegetarian,$,44856799
214,Harbor Street,588297678,Harbor@protonmail.com,italian,$$$$,26354570
215,Taste & Fresh,391649173,Taste@yahoo.com,vegetarian,$$,95334072
216,Fusion Kettle,369009528,Fusion@aol.com,mexican,$$$,46931682
217,Global Side Grill,165356211,Global@gmx.com,vegetarian,$$,79549576
218,Red Haven,393614084,Red@gmx.com,mexican,$$,46605179
219,Sunny Nook,524611991,Sunny@hotmail.com,italian,$$$$,45818764
220,Maple Oven,860969385,Maple@outlook.com,mexican,$$,88257935
221,Sunny Street Cafe,933922317,Sunny@gmail.com,american,$$,66698892
222,Wholesome Bliss,668385483,Wholesome@aol.com,thai,$$$,99470944
223,Copper & Savor,827407652,Copper@icloud.com,vegetarian,$,66175235
224,Bella Seasons,637144129,Bella@outlook.com,japanese,$$,55529855
225,Crispy Crunch,991377658,Crispy@hotmail.com,vegetarian,$$$$,44554735
226,Crispy Grind,283765779,Crispy@outlook.com,vegetarian,$$$$,21450479
227,Eternal Bliss,498250680,Eternal@protonmail.com,vegetarian,$$,40619947
228,Harbor & Sugar,534557909,Harbor@protonmail.com,mexican,$$$,33320036
229,Chop Haven,638953158,Chop@zoho.com,japanese,$,80439038
230,Whisk Grind,773836265,Whisk@gmx.com,vegetarian,$$$$,76155962
231,The Garden,403349560,The@hotmail.com,american,$$$,19552964
232,Global Gourmet,221425969,Global@gmx.com,american,$$$$,66642377
233,Taste Trail,616321767,Taste@yahoo.com,mexican,$$,48304243
234,Gourmet Roaming Fork,561792433,Gourmet@outlook.com,thai,$$$$,99752468
235,The Palace,962440394,The@outlook.com,thai,$$,46889354
236,Crafted Bites,783172461,Crafted@yahoo.com,vegetarian,$$,16879603
237,Urban Nook,963715115,Urban@outlook.com,italian,$,25803874
238,Global Garden,870119917,Global@hotmail.com,vegetarian,$,33269759
239,Brick Side Grill,863770145,Brick@yahoo.com,american,$$,43857826
240,Nectar Eats,764346439,Nectar@yahoo.com,american,$$$$,23032350
241,Chop Bistro,759312176,Chop@hotmail.com,japanese,$,82662094
242,Cheese Delights,437160555,Cheese@mail.com,thai,$$$,56638718
243,Copper Chop House,471800065,Copper@gmail.com,vegetarian,$$$$,45585319
244,Table & Savor,337949166,Table@zoho.com,arabic,$$$,56784587
245,Taste Edge,269237598,Taste@yahoo.com,arabic,$$$$,86514386
246,Twisted Seasons,239731918,Twisted@protonmail.com,italian,$$,53254921
247,Wholesome Moments,133095600,Wholesome@outlook.com,italian,$$,86163088
248,Salt Zest,219153183,Salt@gmail.com,japanese,$$$$,24892830
249,Sip Tastes,653381147,Sip@outlook.com,mexican,$$,75238539
250,Mango Street,988304804,Mango@aol.com,mexican,$$$,58899022
251,Blue & Fresh,241586467,Blue@yahoo.com,mexican,$$$$,46645566
252,Taste Greens,317265120,Taste@gmx.com,thai,$,68995019
253,Chop Trail,706062959,Chop@outlook.com,italian,$$$,53732901
254,Wholesome Moments,186177203,Wholesome@gmx.com,thai,$,40830713
255,Nectar Fare,554335754,Nectar@zoho.com,arabic,$,31508738
256,Golden Fusion,295934698,Golden@mail.com,thai,$$$$,36503135
257,Brick Delights,907737915,Brick@gmx.com,mexican,$$,85170229
258,Global Garden,245744429,Global@outlook.com,arabic,$,95574714
259,City Palace,374873889,City@zoho.com,vegetarian,$$,84956510
260,Global Greens,409439724,Global@protonmail.com,japanese,$,64967364
261,Gourmet Grind,661397510,Gourmet@outlook.com,mexican,$$,80891660
262,Bella Oven,763883818,Bella@outlook.com,vegetarian,$$$$,26285524
263,Plated Crunch,330895839,Plated@hotmail.com,vegetarian,$$$$,11702681
264,Cheese Eats,364074093,Cheese@aol.com,american,$$$$,86461047
265,Lemon Plate,227622174,Lemon@yahoo.com,japanese,$$$$,56530581
266,Savory Fusion,442649826,Savory@gmx.com,arabic,$,90789766
267,Harbor Roaming Fork,924717257,Harbor@protonmail.com,thai,$$,23897454
268,Red Bliss,463882073,Red@protonmail.com,american,$$$$,70313810
269,Pasta Harvest,707178910,Pasta@mail.com,mexican,$,19034184
270,Blue Bistro,875799518,Blue@hotmail.com,thai,$$$$,57624914
271,Eternal Seasons,226725028,Eternal@protonmail.com,japanese,$$$,52471100
272,Fusion Twist,968551347,Fusion@aol.com,mexican,$$$$,52069801
273,Spice Kitchen,426332894,Spice@zoho.com,vegetarian,$$$,29062987
274,Crisp Perfection,242293223,Crisp@zoho.com,arabic,$$,68814602
275,The Spoon,677768885,The@zoho.com,thai,$,91584501
276,Red Perfection,403080238,Red@gmx.com,thai,$$$$,58417758
277,Brick Nook,382183505,Brick@hotmail.com,american,$,24065671
278,Global Tales,149367326,Global@mail.com,arabic,$$$$,12646020
279,Minty Trail,847485233,Minty@zoho.com,japanese,$$$,69532908
280,Wholesome Delights,610779928,Wholesome@aol.com,japanese,$,81112006
281,Eternal Kettle,383878834,Eternal@protonmail.com,italian,$,11101715
282,Plated Kitchen,425580358,Plated@icloud.com,american,$$,12643211
283,Tender Plate,498191048,Tender@aol.com,japanese,$$$$,83400695
284,Crafted & Ladle,174462201,Crafted@outlook.com,mexican,$$,53529145
285,Maple Trail,641502871,Maple@aol.com,vegetarian,$$,54421768
286,Whisk Nook,669679125,Whisk@mail.com,mexican,$$$,78738561
287,Eternal Bliss,696077519,Eternal@protonmail.com,american,$,43152648
288,Crafted Plate,307065382,Crafted@outlook.com,japanese,$$$$,35761276
289,Basil & Sugar,388480955,Basil@yahoo.com,arabic,$$$,92332579
290,Global Fusion,461561075,Global@gmx.com,american,$$$$,61682304
291,Savor View Bistro,968790876,Savor@gmx.com,thai,$$$$,89077139
292,Minty Kitchen,250089602,Minty@mail.com,arabic,$$,66214040
293,Maple Perfection,670222573,Maple@mail.com,italian,$$,57979166
294,Urban Delights,341675631,Urban@icloud.com,japanese,$,59636395
295,Mango & Sugar,853096346,Mango@zoho.com,vegetarian,$,55616641
296,Savor Kitchen,367169827,Savor@outlook.com,arabic,$$$,74857005
297,Sunny Kitchen,301730646,Sunny@protonmail.com,arabic,$$,76829079
298,Plated & Savor,620973824,Plated@gmx.com,mexican,$$,12211131
299,Crisp Plate,377605078,Crisp@gmail.com,mexican,$$,34814406
300,Ocean Perfection,337846596,Ocean@yahoo.com,mexican,$$,94607165
301,Basil Roaming Fork,815002919,Basil@gmail.com,thai,$,50568766
302,Cheese Please,624359763,Cheese@zoho.com,arabic,$,99452816
303,Fusion Kitchen,552598889,Fusion@aol.com,japanese,$,79767320
304,City Street,145444928,City@gmail.com,vegetarian,$$$$,44931693
305,Savory Bistro,203172587,Savory@gmail.com,mexican,$,78111090
306,Wholesome Garden,837936490,Wholesome@aol.com,vegetarian,$$$$,41427458
307,Minty Fare,418727089,Minty@outlook.com,american,$$$,48443611
308,Urban Crunch,330250357,Urban@icloud.com,mexican,$$,13402470
309,Brick Cuisine,156071588,Brick@mail.com,thai,$$$$,58441089
310,Table Kettle,941143414,Table@yahoo.com,italian,$,69358778
311,Fusion Pepper Grill,124061727,Fusion@aol.com,arabic,$$$$,52688728
312,Blue Perfection,873975617,Blue@mail.com,american,$,97969378
313,Red Wok,166833522,Red@aol.com,thai,$$$$,97009733
314,Bella Please,649745100,Bella@aol.com,thai,$$$,27195789
315,Global Nook,657414285,Global@aol.com,italian,$$,41106044
316,Whisk Zest,119446777,Whisk@protonmail.com,italian,$$$,12928513
317,Silver Harvest,259228064,Silver@gmx.com,japanese,$$$$,82631791
318,Golden Pepper Grill,581678087,Golden@gmx.com,japanese,$$$$,85467915
319,Sip Fare,380789077,Sip@icloud.com,vegetarian,$$$,66602051
320,Brick & Fresh,769921882,Brick@mail.com,thai,$$$,41667342
321,Crafted & Savor,450305884,Crafted@yahoo.com,arabic,$$,35536098
322,Whisk Street,674857676,Whisk@outlook.com,japanese,$$,79078716
323,Sunny & Sugar,454058646,Sunny@gmail.com,vegetarian,$$$$,67699448
324,Twisted View Bistro,360426299,Twisted@protonmail.com,thai,$$$,40847154
325,Twisted Wok,832581176,Twisted@icloud.com,american,$$$$,29844164
326,Savory Street,678596873,Savory@icloud.com,american,$$,80744847
327,Mango Pepper Grill,312336671,Mango@zoho.com,arabic,$$$,76899844
328,Twisted Edge,586627073,Twisted@zoho.com,arabic,$$,88734486
329,Crisp Bistro,638916943,Crisp@hotmail.com,american,$$$$,41457328
330,Crafted & Fresh,548937488,Crafted@gmail.com,thai,$$,25109003
331,Pasta Side Grill,400007056,Pasta@aol.com,vegetarian,$$$$,21811135
332,Pasta View Bistro,513476051,Pasta@mail.com,arabic,$$$$,66718022
333,Sunny & Savor,234536073,Sunny@aol.com,arabic,$$$,80971104
334,Urban Crunch,475813473,Urban@mail.com,mexican,$$$$,19303687
335,Global & Ladle,776422942,Global@outlook.com,vegetarian,$$$,19434594
336,Harbor Perfection,365611022,Harbor@icloud.com,vegetarian,$,79220473
337,City Street Cafe,244680016,City@aol.com,thai,$$,60995676
338,Mango Delights,865861641,Mango@gmail.com,japanese,$$$,58592101
339,Lemon Kitchen,890406106,Lemon@aol.com,arabic,$$$,90304511
340,Savor & Fresh,504477022,Savor@protonmail.com,vegetarian,$$,18193517
341,Fusion Street,347636517,Fusion@mail.com,japanese,$$$$,33576603
342,Maple Spoon,830662359,Maple@yahoo.com,japanese,$$,95953504
343,Basil Bites,417546430,Basil@zoho.com,japanese,$$$$,61935654
344,Savor View Bistro,105534513,Savor@hotmail.com,vegetarian,$$$$,46471497
345,Cheese Kitchen,616246898,Cheese@gmx.com,italian,$$$,98149526
346,Crispy & Sugar,134253532,Crispy@icloud.com,thai,$$$,35855869
347,Wholesome Garden,121621518,Wholesome@zoho.com,italian,$$,10542070
348,Golden & Sugar,715601038,Golden@protonmail.com,italian,$$$$,33116265
349,Maple Tales,586429006,Maple@outlook.com,italian,$,36531187
350,Epicurean Bliss,202254261,Epicurean@gmx.com,thai,$,46719564
351,Urban Street,706102776,Urban@icloud.com,mexican,$$$$,41388005
352,Urban Cuisine,335118489,Urban@mail.com,japanese,$$$$,52093554
353,Mosaic Grind,781091217,Mosaic@gmail.com,mexican,$$$$,19023474
354,Gourmet Tastes,266625790,Gourmet@outlook.com,mexican,$$,55039570
355,Urban Bites,888270168,Urban@gmail.com,italian,$$$$,33659793
356,Golden Delights,998813024,Golden@yahoo.com,japanese,$$,73517453
357,Gourmet Bites,414153214,Gourmet@gmail.com,mexican,$$$$,86549263
358,Fusion & Sugar,660287209,Fusion@zoho.com,mexican,$,10811519
359,Nectar Harvest,748965566,Nectar@protonmail.com,vegetarian,$$,84312193
360,Fusion Garden,990027760,Fusion@mail.com,american,$$,11786381
361,Wholesome Zest,686152531,Wholesome@mail.com,italian,$$$$,48597515
362,Eternal Pepper Grill,147958030,Eternal@icloud.com,arabic,$$$,88261632
363,Zen Bistro,295227588,Zen@zoho.com,american,$$,47068330
364,Chop Side Grill,325743773,Chop@gmx.com,italian,$$$$,77882881
365,Eternal Oven,911664828,Eternal@gmx.com,italian,$$,85035143
366,The Greens,939852237,The@zoho.com,american,$$$,32038784
367,Global Grind,809107820,Global@outlook.com,mexican,$$$$,79062032
368,Urban Nook,373325216,Urban@gmail.com,japanese,$$,10145245
369,Maple View Bistro,393033549,Maple@aol.com,vegetarian,$$,26722985
370,Harbor Trail,695192635,Harbor@hotmail.com,american,$,54170849
371,Urban Grind,480143154,Urban@icloud.com,italian,$$$,16445785
372,Golden Grind,472352290,Golden@yahoo.com,american,$,20474047
373,Eternal Trail,225600095,Eternal@aol.com,arabic,$$$,61730141
374,Eternal Gourmet,835214197,Eternal@zoho.com,thai,$$$$,90466803
375,Lemon Bistro,899436276,Lemon@yahoo.com,mexican,$$$,53564257
376,Plated Greens,265644744,Plated@protonmail.com,japanese,$$$$,50848013
377,Spice Moments,153512467,Spice@zoho.com,american,$,49587771
378,Nectar Eats,108611209,Nectar@gmail.com,italian,$,39819608
379,Harbor Kettle,555743585,Harbor@yahoo.com,mexican,$$,86356590
380,Ocean Please,272255423,Ocean@gmx.com,japanese,$$$$,68869755
381,Global Delights,167176535,Global@yahoo.com,vegetarian,$,49709247
382,Global Haven,975166186,Global@hotmail.com,thai,$$,91825838
383,Plated Delights,857592507,Plated@protonmail.com,american,$$,98344625
384,Nectar Palace,917222721,Nectar@outlook.com,thai,$$$$,16106332
385,Taste Plate,211006036,Taste@hotmail.com,american,$$,66107793
386,Sip & Ladle,491926157,Sip@gmx.com,italian,$$,17004319
387,Harbor Side Grill,732694661,Harbor@icloud.com,mexican,$$,38001144
388,Plated Seasons,974462729,Plated@gmail.com,arabic,$,87670852
389,Plated Fusion,339327962,Plated@outlook.com,japanese,$$$$,29391072
