id,name,phone,email,cuisine_type,price_range,vat_code
57,Eternal Perfection,9424873433,Eternal@protonmail.com,mexican,$$,7088180661
58,Red Please,4550673827,Red@yahoo.com,japanese,$$,8646890256
59,Twisted Wok,7872123477,Twisted@protonmail.com,arabic,$,4636721719
60,Salt Gourmet,4800978145,Salt@zoho.com,american,$$,9293216609
61,Tender Roaming Fork,4624982662,Tender@mail.com,arabic,$$$,2807676149
62,Basil Delights,2448738985,Basil@icloud.com,mexican,$,5990767958
63,Eternal Bistro,7682351256,Eternal@protonmail.com,arabic,$,7674895619
64,Zen Chop House,6120089019,Zen@yahoo.com,mexican,$,1245726056
65,Savor Zest,3178434943,Savor@hotmail.com,italian,$$$,6740832010
66,Taste Bliss,2392146269,Taste@zoho.com,thai,$,5956065975
67,Minty Street,2096485459,Minty@icloud.com,thai,$$$$,3820929926
68,Ocean Seasons,8260223114,Ocean@protonmail.com,american,$,6588500122
69,Sunny Trail,1157836170,Sunny@zoho.com,vegetarian,$$$,7122963753
70,Salt Kitchen,5105890860,Salt@gmx.com,arabic,$$,2518663794
71,Spice Cuisine,4664957644,Spice@icloud.com,mexican,$$,8461641415
72,Harbor Moments,5438395089,Harbor@zoho.com,arabic,$$$$,1964702557
73,Silver Eats,8859926564,Silver@zoho.com,japanese,$$$,7426703950
74,Minty Moments,7718911132,Minty@aol.com,mexican,$$$$,7047981036
75,Fusion Nook,4241393087,Fusion@mail.com,american,$$$$,1446588446
76,Crafted Fare,8216564246,Crafted@yahoo.com,mexican,$$,6540531863
77,Taste Bites,3659025450,Taste@gmail.com,thai,$$,4336187169
78,Mosaic Grind,4192149055,Mosaic@outlook.com,vegetarian,$$,4455521661
79,Epicurean Kitchen,5363008026,Epicurean@gmx.com,arabic,$$$$,6243636075
80,Epicurean Wok,6516422017,Epicurean@icloud.com,thai,$,4198339023
81,The Kettle,7454891893,The@mail.com,arabic,$,8549128816
82,Harbor Greens,7544814222,Harbor@gmail.com,vegetarian,$$$,4603163249
83,Nectar Tales,4484276515,Nectar@gmx.com,vegetarian,$$$$,7922716826
84,Ocean Please,1611387885,Ocean@gmx.com,japanese,$$$,9321712294
85,Chop Chop House,6938670108,Chop@mail.com,american,$$$$,7901706214
86,Basil Tastes,2415824383,Basil@aol.com,japanese,$$,7304270710
87,Nectar Haven,3902559513,Nectar@icloud.com,american,$,5130729183
88,Crisp Bliss,3973825581,Crisp@outlook.com,vegetarian,$$,4704108609
89,The Tastes,6298852986,The@gmx.com,thai,$,2106435151
90,Silver Nook,2489938353,Silver@protonmail.com,american,$$$,5783799744
91,Basil Bites,9216746364,Basil@protonmail.com,american,$$,8143304477
92,Tender Eats,1989229867,Tender@gmail.com,arabic,$$,1219245095
93,Cheese & Savor,1583744808,Cheese@mail.com,mexican,$$$$,4524577243
94,Silver Side Grill,8941930565,Silver@yahoo.com,american,$,3564745138
95,Lemon Wok,6254115987,Lemon@icloud.com,american,$$$$,8049191593
96,Pasta Delights,9844473874,Pasta@yahoo.com,thai,$$$,4453803232
97,Minty Oven,1346350843,Minty@outlook.com,vegetarian,$$$$,4705111360
98,Global Haven,9182616204,Global@icloud.com,mexican,$$$$,3170024859
99,Table Pepper Grill,9460645553,Table@mail.com,italian,$$$,2814180749
100,Crisp Garden,5829511812,Crisp@outlook.com,american,$$$$,4705882952
101,Zen Bites,5180533569,Zen@gmail.com,mexican,$$$$,4156917649
102,Crafted View Bistro,6436256525,Crafted@hotmail.com,thai,$$,9705637725
103,Copper Tales,5153285108,Copper@yahoo.com,mexican,$$$,7854634827
104,Golden Kettle,3778224520,Golden@protonmail.com,italian,$,3476162619
105,Salt & Savor,5332639826,Salt@yahoo.com,american,$$$$,4576424851
106,Global Seasons,6148297949,Global@gmx.com,american,$,6460710330
107,Golden Moments,8964848798,Golden@hotmail.com,american,$$,6771646104
108,City Bliss,4937448788,City@yahoo.com,japanese,$$,5980071683
109,Taste Side Grill,6647957703,Taste@yahoo.com,vegetarian,$$$$,7546307233
110,Sip Tales,2330319745,Sip@protonmail.com,vegetarian,$$,2239613001
111,Global Street Cafe,1594148128,Global@aol.com,vegetarian,$$$$,3406164597
112,Chop Delights,3923209560,Chop@outlook.com,italian,$$$$,7936872837
113,Nectar Fare,3722457215,Nectar@aol.com,italian,$$,7911197916
114,Nectar & Fresh,8861132473,Nectar@zoho.com,thai,$$$$,6230155826
115,Basil Seasons,3350380984,Basil@protonmail.com,american,$,7190284185
116,Lemon Grind,4587456288,Lemon@mail.com,thai,$$$,3648008733
117,Urban Fusion,9115795069,Urban@yahoo.com,mexican,$$,3716970119
118,Epicurean Street,2159090621,Epicurean@gmx.com,arabic,$$,9908052114
119,Brick Harvest,2978884930,Brick@hotmail.com,american,$,9023527133
120,Bella Tastes,6269996536,Bella@hotmail.com,arabic,$,1474594662
121,Bella Crunch,6378764220,Bella@protonmail.com,thai,$$$$,6181410852
122,Sunny Plate,1512449031,Sunny@zoho.com,japanese,$$,9210270638
123,Blue Roaming Fork,4645830216,Blue@outlook.com,mexican,$,8429771355
124,Salt Gourmet,2312565015,Salt@zoho.com,japanese,$,2987658068
125,Sunny Eats,3753614261,Sunny@hotmail.com,arabic,$,4258887785
126,Chop Delights,4031261384,Chop@zoho.com,american,$,5145683892
127,Lemon Palace,1833574318,Lemon@aol.com,japanese,$$$,5052785271
128,Salt Bistro,3290975935,Salt@zoho.com,arabic,$$,3092983167
129,Fusion Delights,5166988784,Fusion@gmail.com,mexican,$$$,8847744045
130,Cheese Tales,8309314713,Cheese@protonmail.com,american,$,4795187925
131,Whisk Haven,1173411298,Whisk@gmail.com,vegetarian,$$$,5938723417
132,Wholesome Pepper Grill,3571777300,Wholesome@mail.com,arabic,$$$$,4674021716
133,Plated Gourmet,2912877941,Plated@protonmail.com,thai,$$,6926868588
134,Ocean Oven,9218121934,Ocean@gmail.com,vegetarian,$$,4153467589
135,Gourmet Please,5457652388,Gourmet@zoho.com,japanese,$$,4217894579
136,Plated Wok,8158491030,Plated@outlook.com,arabic,$$$$,8271108587
137,Fusion Palace,3566426145,Fusion@mail.com,mexican,$$$,7337019890
138,Mango Roaming Fork,2109789865,Mango@hotmail.com,arabic,$$$$,2512279005
139,Golden Zest,2915560174,Golden@icloud.com,japanese,$$$,3284112992
140,Nectar Harvest,1647414484,Nectar@hotmail.com,vegetarian,$,2646599896
141,Silver Grind,6633733801,Silver@hotmail.com,mexican,$$$,3667732491
142,Epicurean Nook,3255213739,Epicurean@mail.com,arabic,$,2161656307
143,Wholesome Moments,2814067995,Wholesome@gmail.com,thai,$$$,8048303359
144,Blue Fare,5626476082,Blue@gmx.com,arabic,$,6079748181
145,Cheese Street,1869805217,Cheese@zoho.com,mexican,$,8692836629
146,Crispy Tales,5659066151,Crispy@outlook.com,italian,$,1054211873
147,Whisk Delights,2325690399,Whisk@aol.com,japanese,$$$$,7801458020
148,Lemon Bliss,9543420925,Lemon@protonmail.com,italian,$,7552741837
149,Basil Wok,1597399692,Basil@hotmail.com,arabic,$$,5055597688
150,Copper Perfection,5414322359,Copper@gmx.com,thai,$$$$,7269688868
151,Savory Street,1905029584,Savory@gmail.com,japanese,$$$,3627969649
152,Sunny Fare,5521643540,Sunny@gmail.com,american,$$$$,6502495147
153,Salt Oven,1278143546,Salt@aol.com,vegetarian,$,8614147551
154,Sunny Moments,1442253845,Sunny@yahoo.com,american,$$$,6191008944
155,Wholesome Delights,8856181353,Wholesome@yahoo.com,mexican,$$$$,3597520050
156,Nectar Wok,8120193441,Nectar@hotmail.com,mexican,$$,5201263165
157,Table Street Cafe,8568784272,Table@zoho.com,mexican,$$$$,5255092161
158,Wholesome Cuisine,7349711740,Wholesome@mail.com,american,$,6427052327
159,Nectar Tales,2860100836,Nectar@zoho.com,arabic,$$,5222657218
160,Blue Grind,8925366587,Blue@zoho.com,thai,$$,4148402375
161,Gourmet Zest,9270287591,Gourmet@yahoo.com,japanese,$,2825235451
162,Gourmet Wok,5708668277,Gourmet@gmail.com,american,$$$$,7149103124
163,Basil Spoon,6647045069,Basil@protonmail.com,american,$,2647555500
164,Crisp Oven,5071049936,Crisp@zoho.com,american,$$$,8760304370
165,Tender Cuisine,9426650680,Tender@zoho.com,mexican,$$,9721148653
166,Mosaic Edge,7556527440,Mosaic@aol.com,vegetarian,$$$,8984187758
167,Bella Fare,7756481899,Bella@gmx.com,thai,$$$$,6246679963
168,Red Wok,2459581230,Red@gmail.com,japanese,$$,2362127534
169,Basil Haven,9355317458,Basil@gmx.com,thai,$$,6778238588
170,Minty Grind,8076681402,Minty@yahoo.com,arabic,$$$,7892213032
171,Pasta Fusion,5946202034,Pasta@hotmail.com,arabic,$$$$,7653871172
172,Spice Twist,8725453501,Spice@hotmail.com,arabic,$$,9485066461
173,Copper Cuisine,7295958184,Copper@mail.com,japanese,$$,9786488682
174,Copper & Fresh,7951398462,Copper@yahoo.com,arabic,$$$$,6824312590
175,Crisp Spoon,9541767701,Crisp@hotmail.com,italian,$$$,4770577303
176,Crafted Street,6035729709,Crafted@gmx.com,vegetarian,$$,9323861116
177,Mango Tastes,3094266780,Mango@gmail.com,mexican,$$$,8002059206
178,Bella & Savor,3362311003,Bella@hotmail.com,arabic,$$$,8287295077
179,Blue Zest,2032426966,Blue@aol.com,american,$$,7904486216
180,Urban Grind,6428719698,Urban@aol.com,american,$$$,5263985445
181,Tender Grind,2715141967,Tender@outlook.com,american,$,9382629385
182,Maple Perfection,8393096127,Maple@protonmail.com,american,$$$,5965793341
183,Mosaic Eats,9612652149,Mosaic@outlook.com,american,$$$,8457535986
184,Spice View Bistro,9358635139,Spice@yahoo.com,japanese,$,1073182160
185,Fusion Grind,6120577105,Fusion@mail.com,vegetarian,$$$$,9848030163
186,Savory Spoon,6950124079,Savory@hotmail.com,thai,$$,5945490695
187,Lemon Cuisine,4858371847,Lemon@zoho.com,thai,$,5362843859
188,Salt Kettle,1465312931,Salt@zoho.com,vegetarian,$$$,2522446958
189,Minty & Sugar,4391182361,Minty@hotmail.com,vegetarian,$$$$,5190679213
190,Mosaic Street Cafe,1768967473,Mosaic@hotmail.com,italian,$,9411678476
191,Mango Moments,3196225088,Mango@gmail.com,italian,$$,4290515814
192,Taste View Bistro,6147256032,Taste@aol.com,thai,$,9647931373
193,Bella Street,6291211326,Bella@protonmail.com,thai,$$$,8565401842
194,Global Wok,9867401250,Global@gmail.com,thai,$$,3600597409
195,Silver Kitchen,3338735840,Silver@protonmail.com,american,$$$$,9616860530
196,Whisk Please,7592808286,Whisk@protonmail.com,vegetarian,$,5243737183
197,Nectar Tales,7687146246,Nectar@yahoo.com,italian,$$$,1638065785
198,Spice Bistro,5116914244,Spice@mail.com,american,$$$$,5340320906
199,Epicurean Bliss,6559254173,Epicurean@aol.com,vegetarian,$,1533959352
200,Chop Tales,5468370544,Chop@yahoo.com,mexican,$$$,2516906405
201,Wholesome Twist,5752845792,Wholesome@yahoo.com,japanese,$$$,6474000643
202,Zen Gourmet,8835680975,Zen@hotmail.com,american,$$$$,1221864835
203,Cheese Kitchen,6194778656,Cheese@protonmail.com,vegetarian,$$$$,2309546928
204,Mango Palace,7374302323,Mango@zoho.com,arabic,$$,2118439979
205,Epicurean Plate,4442822878,Epicurean@zoho.com,vegetarian,$,6336166050
206,Table Seasons,4224872151,Table@hotmail.com,italian,$$,6527746399
207,Bella Delights,9397014627,Bella@gmail.com,japanese,$$$$,5815049648
208,Sip Oven,5521620928,Sip@gmx.com,mexican,$,6121845595
209,Cheese Bliss,4868595287,Cheese@mail.com,vegetarian,$,1929902173
210,City Crunch,2055087597,City@zoho.com,japanese,$,9339918893
211,Savory Tales,4049690703,Savory@mail.com,american,$$$$,8390066755
212,Salt Twist,7492677590,Salt@outlook.com,vegetarian,$$$,9095016509
213,Whisk Kettle,8585390335,Whisk@hotmail.com,thai,$$$,5302788559
214,Tender Twist,7327739253,Tender@gmail.com,vegetarian,$$,3351784681
215,Nectar Seasons,4384302157,Nectar@gmail.com,japanese,$$$$,5094870264
216,Blue Fare,8070103708,Blue@zoho.com,thai,$$$$,1908180385
217,Wholesome Delights,2002345839,Wholesome@protonmail.com,mexican,$$$$,6387509709
218,Pasta Chop House,6378673688,Pasta@icloud.com,arabic,$$,5655564231
219,Basil & Fresh,1783460685,Basil@hotmail.com,mexican,$$,7325461772
220,Cheese Side Grill,7572706224,Cheese@gmx.com,vegetarian,$$$$,7224212294
221,Tender Moments,7562556170,Tender@yahoo.com,thai,$$,4301565980
222,Basil Bistro,3940477133,Basil@gmail.com,italian,$,5628706486
223,Urban Fare,7419704741,Urban@gmail.com,vegetarian,$$$$,9451403645
224,Plated Tastes,7982899372,Plated@gmx.com,vegetarian,$,7364715391
225,Crisp Fare,6266470398,Crisp@gmx.com,thai,$$$$,6048720630
226,Basil Bites,3920546894,Basil@mail.com,vegetarian,$,4380076842
227,Pasta Tastes,2145329372,Pasta@outlook.com,mexican,$$,6195844989
228,Table Edge,4064035096,Table@hotmail.com,vegetarian,$$$,2888737634
229,Ocean & Sugar,5886003483,Ocean@aol.com,thai,$$$,7676050635
230,Urban Side Grill,8378025701,Urban@zoho.com,american,$$$,8585281086
231,Ocean Pepper Grill,4472249070,Ocean@gmx.com,mexican,$,2741060429
232,Zen Nook,9753097467,Zen@aol.com,thai,$$$,4630329595
233,Ocean Zest,1488292702,Ocean@aol.com,mexican,$$$,4499371868
234,Eternal Greens,7495294418,Eternal@hotmail.com,vegetarian,$$$,8568453940
235,Copper Seasons,8366689751,Copper@yahoo.com,vegetarian,$$,3042803760
236,Minty Gourmet,7726163277,Minty@outlook.com,american,$$$,7048738449
237,Crafted Wok,5516228955,Crafted@outlook.com,thai,$$,8548788475
238,Salt Please,4567104864,Salt@gmx.com,american,$,3881844124
239,Bella Eats,6584279797,Bella@mail.com,arabic,$,8051148931
240,Crispy Fare,8771330112,Crispy@mail.com,mexican,$,1159620109
241,Mango Nook,1761482298,Mango@gmail.com,mexican,$,3840220958
242,Pasta Zest,3882964175,Pasta@mail.com,italian,$$$$,7910346298
243,Bella Please,6010504148,Bella@protonmail.com,american,$,6779486963
244,Mosaic Zest,1133746109,Mosaic@gmx.com,japanese,$$,4118312535
245,Lemon Crunch,1362632098,Lemon@outlook.com,vegetarian,$,6207915966
246,Global Edge,4288491923,Global@zoho.com,thai,$$$,4282585590
247,Sip & Ladle,7528800034,Sip@hotmail.com,italian,$$$,9228704910
248,Bella Nook,4418481452,Bella@gmail.com,thai,$,5302163234
249,Nectar & Savor,4841820663,Nectar@gmail.com,italian,$$,9706982526
250,Golden Edge,9822870511,Golden@zoho.com,italian,$$$,3980509434
251,Ocean Kettle,7024532077,Ocean@protonmail.com,vegetarian,$$,6492181769
252,Silver Spoon,2104060761,Silver@zoho.com,vegetarian,$$,9075731094
253,Bella & Savor,6943746675,Bella@aol.com,vegetarian,$$$,8110598564
254,Crispy Please,7663318553,Crispy@gmx.com,italian,$$,6749761778
255,Cheese Palace,8108601048,Cheese@aol.com,japanese,$$,1289016409
256,Gourmet Tales,6445770644,Gourmet@hotmail.com,italian,$$,7321581392
257,Crispy Wok,7020825158,Crispy@gmx.com,italian,$$$,5596618322
258,Global Cuisine,5360172488,Global@zoho.com,vegetarian,$,6627198303
259,Salt Bites,7101050370,Salt@zoho.com,thai,$$$,9433486027
260,Sunny Kettle,8835911645,Sunny@gmx.com,italian,$$$,3493749279
261,Crispy Harvest,5981081978,Crispy@protonmail.com,japanese,$,5093767397
262,Zen Tales,1686884179,Zen@gmail.com,italian,$$,2805634784
263,Golden Harvest,1186940801,Golden@aol.com,vegetarian,$$,8986603577
264,Whisk Street,7118269596,Whisk@gmail.com,thai,$$,3702089852
265,Savory Delights,6200160226,Savory@icloud.com,thai,$$$$,8993487059
266,Plated Eats,2744408484,Plated@gmail.com,italian,$,6941679409
267,Chop Grind,3237399352,Chop@icloud.com,vegetarian,$,3194291851
268,Basil Eats,1503765228,Basil@yahoo.com,italian,$$,4530758032
269,Spice Nook,8850796593,Spice@yahoo.com,vegetarian,$$$,2107284445
270,Copper Gourmet,7709481013,Copper@mail.com,mexican,$$$$,7800251041
271,Savor Bites,6885354489,Savor@aol.com,mexican,$$$,2956194364
272,Chop Delights,7928777227,Chop@gmx.com,thai,$$,7651639369
273,Maple Pepper Grill,7238564603,Maple@zoho.com,american,$$,8395172672
274,Brick Eats,2019927417,Brick@protonmail.com,american,$$$$,6146069433
275,Global Seasons,9099599101,Global@mail.com,mexican,$$$,3925575769
276,Mango Tastes,1030594567,Mango@gmail.com,vegetarian,$$$$,1011704057
277,Lemon Wok,8861549323,Lemon@icloud.com,vegetarian,$$,4153492843
278,Blue Chop House,8113361611,Blue@gmail.com,vegetarian,$$$,8910881074
279,Zen Fusion,3625065294,Zen@outlook.com,mexican,$,4339496327
280,Brick Plate,9457594550,Brick@icloud.com,italian,$$,4632813356
281,Fusion Haven,1605028500,Fusion@gmx.com,italian,$$$$,3874365335
282,Whisk Moments,1740847410,Whisk@hotmail.com,mexican,$$$,8551792613
283,Crispy Twist,6525677108,Crispy@aol.com,mexican,$$$$,8098386270
284,Pasta Garden,2712324310,Pasta@hotmail.com,american,$,5344769598
285,Table Zest,6894215529,Table@icloud.com,mexican,$$$,9555994268
286,Blue Delights,8855129982,Blue@protonmail.com,mexican,$$$,8391449329
287,Brick Palace,9097246078,Brick@icloud.com,vegetarian,$$$,3935578872
288,Sip Seasons,7450374341,Sip@gmail.com,italian,$$,9531697977
289,Bella Bliss,6679034265,Bella@yahoo.com,american,$$$,8587181771
290,Sip Garden,4306791583,Sip@icloud.com,arabic,$,5156480983
291,Gourmet Spoon,3395579028,Gourmet@mail.com,mexican,$$,6211478379
292,Crispy Trail,1549169931,Crispy@mail.com,vegetarian,$,4153357367
293,Pasta Chop House,5882754604,Pasta@protonmail.com,italian,$$$$,3577043609
294,Mosaic Street,4877946835,Mosaic@hotmail.com,italian,$,8656638291
295,Mosaic Trail,2418719254,Mosaic@yahoo.com,vegetarian,$$$,3860406687
296,Wholesome View Bistro,8963454513,Wholesome@hotmail.com,thai,$$$$,8503613834
297,Golden Gourmet,2461127305,Golden@gmx.com,japanese,$$$$,8909416471
298,Maple Fare,7527264130,Maple@protonmail.com,vegetarian,$,9154498805
299,Crisp Moments,2284435282,Crisp@gmx.com,thai,$,5888541145
300,Whisk Wok,3589269770,Whisk@gmail.com,mexican,$$,6705530225
301,Tender Chop House,9513121119,Tender@mail.com,american,$,5569987964
302,Twisted Street,9955064002,Twisted@gmx.com,arabic,$$$$,3713211514
303,Golden & Savor,8008764246,Golden@protonmail.com,vegetarian,$$$,4237834004
304,Taste & Savor,9458177151,Taste@zoho.com,arabic,$$$$,1967203292
305,Blue Edge,5406017699,Blue@gmail.com,vegetarian,$,5243332675
306,Basil Palace,2186967832,Basil@hotmail.com,japanese,$$$,4218197132
307,Golden Bites,8799588801,Golden@hotmail.com,japanese,$,2377630424
308,Harbor & Fresh,6369599860,Harbor@aol.com,thai,$$,3051807325
309,Gourmet Seasons,5722343265,Gourmet@protonmail.com,arabic,$,8709562493
310,Fusion Bliss,7742861078,Fusion@mail.com,arabic,$$$$,4253031216
311,Mosaic Bites,1765550268,Mosaic@yahoo.com,italian,$,4464405631
312,Savor Plate,1871397737,Savor@protonmail.com,mexican,$$,8975905366
313,Tender Tales,3611475776,Tender@zoho.com,american,$,8772096097
314,Taste Street,2365626848,Taste@mail.com,italian,$,5279086616
315,Taste Eats,6522899020,Taste@icloud.com,thai,$$$,3156709796
316,Taste Edge,1529832581,Taste@yahoo.com,japanese,$$$,6718547049
317,Golden Wok,3338804369,Golden@zoho.com,arabic,$$,9936104348
318,Bella Twist,7898392988,Bella@hotmail.com,italian,$$$$,1955313194
319,Blue Wok,6247042658,Blue@aol.com,mexican,$$$,5560250580
320,Brick Side Grill,4055360632,Brick@gmx.com,arabic,$$$$,3582086582
321,Taste Cuisine,6477496631,Taste@gmail.com,american,$$$$,2931645023
322,Maple Haven,8520315960,Maple@gmx.com,italian,$$$,7664364156
323,Copper & Ladle,1761824508,Copper@gmail.com,japanese,$$$,4478150920
324,Plated Kettle,8931522651,Plated@gmx.com,italian,$$$$,6058423342
325,Maple Gourmet,9018708951,Maple@outlook.com,italian,$,7120592849
326,Minty Roaming Fork,8198909497,Minty@protonmail.com,vegetarian,$$$,4164839079
327,Red Plate,5238842346,Red@zoho.com,mexican,$$$,3434176302
328,Salt Fare,1162015656,Salt@gmx.com,vegetarian,$,2320854665
329,Harbor & Ladle,1035939489,Harbor@gmx.com,vegetarian,$$$,6378981076
330,Silver Palace,3192092618,Silver@gmx.com,mexican,$$$,8981462254
331,Urban Cuisine,8171584506,Urban@yahoo.com,italian,$$$,3135282522
332,Silver Moments,3908868125,Silver@outlook.com,vegetarian,$$,7895156759
333,Crispy Kitchen,1566964363,Crispy@protonmail.com,japanese,$,4077540527
334,Bella Kitchen,2059800189,Bella@outlook.com,american,$,5055351499
335,Crispy Street Cafe,3535059222,Crispy@zoho.com,japanese,$$$$,9954140630
336,The Palace,7649054338,The@gmx.com,thai,$$$,3389058065
337,Pasta Spoon,3741983651,Pasta@protonmail.com,arabic,$,4410187453
338,Golden Delights,5519458882,Golden@protonmail.com,japanese,$,4814690236
339,Pasta Bites,6670476519,Pasta@hotmail.com,thai,$$$,7140741059
340,Ocean Street Cafe,7959404422,Ocean@icloud.com,arabic,$$$,5005075513
341,Crisp & Savor,1021959570,Crisp@icloud.com,arabic,$$,9248634203
342,Nectar Twist,9449289540,Nectar@outlook.com,american,$,8942153392
343,Golden & Savor,7906473286,Golden@mail.com,italian,$$$,9170445063
344,Cheese Grind,6950072881,Cheese@gmail.com,arabic,$,4770989450
345,Blue Bites,4701976357,Blue@gmail.com,vegetarian,$$$,3427085783
346,Harbor Zest,4408933064,Harbor@gmail.com,vegetarian,$,6661323674
347,Golden Grind,5417053225,Golden@icloud.com,thai,$$$$,7210932862
348,Crisp & Sugar,4660556404,Crisp@mail.com,japanese,$$,6064778308
349,Red Please,6396006808,Red@aol.com,italian,$$,3106664882
350,Sunny Street,5490192916,Sunny@aol.com,italian,$$$,9602337502
351,Crispy Twist,1380621995,Crispy@aol.com,vegetarian,$$$,7733636940
352,Mosaic Pepper Grill,2520316747,Mosaic@zoho.com,american,$$$,5851631313
353,Spice Moments,7601989143,Spice@yahoo.com,italian,$$,5613942170
354,Savory Fusion,3146820548,Savory@zoho.com,vegetarian,$$$$,9058978649
355,Savor & Ladle,2295194107,Savor@mail.com,italian,$$$,7270575813
356,Urban Delights,6736324722,Urban@yahoo.com,japanese,$$,6949758851
357,Eternal Moments,7586001356,Eternal@zoho.com,arabic,$,4382500750
358,Salt Kettle,4095156581,Salt@zoho.com,japanese,$$,4720851189
359,Maple Tastes,6519688239,Maple@outlook.com,american,$$$$,1550441354
360,Nectar Seasons,4855829054,Nectar@zoho.com,american,$$$$,8409576577
361,Plated Bliss,8416016292,Plated@mail.com,arabic,$$,2638344646
362,Red Bliss,4706606458,Red@zoho.com,vegetarian,$$,5808318027
363,Fusion Haven,4801835471,Fusion@icloud.com,american,$,4774296250
364,Gourmet Gourmet,6359550463,Gourmet@mail.com,italian,$$$,5912554869
365,Savor Street,7519841504,Savor@yahoo.com,japanese,$$,6795450111
366,Urban Spoon,5582439556,Urban@protonmail.com,arabic,$$,9258656052
367,Wholesome Bliss,5138924693,Wholesome@yahoo.com,american,$$,5255238379
368,Eternal Palace,8195943906,Eternal@icloud.com,italian,$$,6058913382
