restaurant_id,street,address_number,zip_code,city,province,country
156,Viale Milano,157,20158,Prato,PO,Italy
157,Via Panisperna,83,60601,Brescia,BS,Italy
158,Via della Fortezza,52,20158,Rome,RM,Italy
159,Via dei Serpenti,155,2374,Taranto,TA,Italy
160,Vicolo Stretto,47,20158,Novara,NO,Italy
161,Viale delle Milizie,122,69696,Turin,TO,Italy
162,Viale dei Traghetti,140,77001,Reggio Emilia,RE,Italy
163,Via XX Settembre,115,69696,Bergamo,BG,Italy
164,Piazza San Marco,115,69696,Latina,LT,Italy
165,Viale dell'Arte,53,46731,Novara,NO,Italy
166,Piazza del Popolo,91,85001,Cagliari,CA,Italy
167,Via Giulia,87,90001,Perugia,PG,Italy
168,Piazza Navona,82,2374,Modena,MO,Italy
169,Viale dell'Arte,85,69696,Foggia,FG,Italy
170,Viale Parioli,153,2374,Udine,UD,Italy
171,Via Appia Antica,172,46731,Giugliano in Campania,NA,Italy
172,Via della Fortezza,68,46731,Giugliano in Campania,NA,Italy
173,Via dei Condotti,149,85001,Foggia,FG,Italy
174,Viale Parioli,133,46731,Palermo,PA,Italy
175,Via della Repubblica,165,77001,Livorno,LI,Italy
176,Corso Vittorio Emanuele,62,20158,Catania,CT,Italy
177,Via della Fortezza,90,2374,Foggia,FG,Italy
178,Viale Trastevere,122,2374,Padua,PD,Italy
179,Corso Buenos Aires,10,46731,Rimini,RN,Italy
180,Via dei Serpenti,134,77001,Messina,ME,Italy
181,Via XX Settembre,60,85001,Palermo,PA,Italy
182,Vicolo Stretto,57,85001,Sassari,SS,Italy
183,Via della Croce,112,46731,Bologna,BO,Italy
184,Via dei Serpenti,105,46731,Ferrara,FE,Italy
185,Via del Tritone,139,10001,Cagliari,CA,Italy
186,Viale Trastevere,83,60601,Perugia,PG,Italy
187,Via Panisperna,17,60601,Pescara,PE,Italy
188,Viale Trastevere,2,69696,Perugia,PG,Italy
189,Via della Moscova,79,85001,Bergamo,BG,Italy
190,Via della Mosca,84,85001,Palermo,PA,Italy
191,Viale Ceccarini,49,69696,Catania,CT,Italy
192,Piazza San Marco,29,85001,Taranto,TA,Italy
193,Corso Buenos Aires,63,60601,Prato,PO,Italy
194,Vicolo Fiori,28,2374,Pescara,PE,Italy
195,Via Tiburtina,49,2374,Reggio Emilia,RE,Italy
196,Via Roma,118,77001,Perugia,PG,Italy
197,Viale Parioli,194,10001,Trento,TN,Italy
198,Via Panisperna,63,10001,Foggia,FG,Italy
199,Corso Vittorio Emanuele,176,46731,Novara,NO,Italy
200,Vicolo delle Palle,5,77001,Monza,MB,Italy
201,Via Manzoni,13,60601,Terni,TR,Italy
202,Viale dei Traghetti,17,46731,Sassari,SS,Italy
203,Viale dei Traghetti,177,10001,Rimini,RN,Italy
204,Via Roma,75,10001,Taranto,TA,Italy
205,Via XX Settembre,25,20158,Foggia,FG,Italy
206,Corso Umberto I,118,46731,Palermo,PA,Italy
207,Via dei Greci,113,69696,Florence,FI,Italy
208,Via Giulia,14,10001,Milan,MI,Italy
209,Via della Repubblica,36,60601,Bari,BA,Italy
210,Piazza di Spagna,192,90001,Ravenna,RA,Italy
211,Via dei Condotti,147,2374,Florence,FI,Italy
212,Via Manzoni,33,46731,Forlì,FC,Italy
213,Vicolo Fiori,96,10001,Trieste,TS,Italy
214,Piazza del Popolo,193,60601,Siracusa,SR,Italy
215,Via Flaminia,65,77001,Salerno,SA,Italy
216,Viale Parioli,69,2374,Venice,VE,Italy
217,Corso Umberto I,53,77001,Forlì,FC,Italy
218,Via dei Serpenti,131,20158,Rimini,RN,Italy
219,Via Dante,155,46731,Prato,PO,Italy
220,Via dei Serpenti,193,20158,Padua,PD,Italy
221,Corso Garibaldi,116,2374,Padua,PD,Italy
222,Via Dante,52,90001,Bolzano,BZ,Italy
223,Via della Croce,174,60601,Udine,UD,Italy
224,Via Roma,197,90001,Cesena,FC,Italy
225,Via Margutta,193,69696,Ferrara,FE,Italy
226,Piazza di Spagna,78,20158,Bologna,BO,Italy
227,Via Manzoni,166,69696,Florence,FI,Italy
228,Via Giulia,37,10001,Bolzano,BZ,Italy
229,Piazza Navona,123,85001,Siracusa,SR,Italy
230,Via Dante,53,60601,Ferrara,FE,Italy
231,Viale dei Colli Portuensi,167,46731,Terni,TR,Italy
232,Via Flaminia,8,46731,Sassari,SS,Italy
233,Via Manzoni,118,46731,Forlì,FC,Italy
234,Via della Croce,107,20158,Naples,NA,Italy
235,Corso Venezia,83,20158,Novara,NO,Italy
236,Via Appia Antica,133,77001,Padua,PD,Italy
237,Via Montenapoleone,105,2374,Bologna,BO,Italy
238,Via della Croce,195,10001,Salerno,SA,Italy
239,Via dei Serpenti,157,90001,Reggio Calabria,RC,Italy
240,Corso Garibaldi,108,2374,Perugia,PG,Italy
241,Via Manzoni,11,85001,Pescara,PE,Italy
242,Viale Trastevere,153,90001,Taranto,TA,Italy
243,Via dei Greci,153,60601,Brescia,BS,Italy
244,Via dei Greci,180,69696,Milan,MI,Italy
245,Via della Moscova,104,20158,Reggio Calabria,RC,Italy
246,Viale Ceccarini,16,85001,Rome,RM,Italy
247,Via della Moscova,97,77001,Foggia,FG,Italy
248,Via della Repubblica,185,46731,Bolzano,BZ,Italy
249,Vicolo Stretto,150,77001,Reggio Calabria,RC,Italy
250,Via dei Fori Imperiali,197,46731,Brescia,BS,Italy
251,Corso Vittorio Emanuele,127,10001,Pescara,PE,Italy
252,Vicolo Fiori,190,85001,Padua,PD,Italy
253,Viale Trastevere,27,20158,Florence,FI,Italy
254,Viale dei Traghetti,105,77001,Florence,FI,Italy
255,Piazza Navona,36,77001,Bari,BA,Italy
256,Via Manzoni,187,60601,Perugia,PG,Italy
257,Via Roma,41,10001,Verona,VR,Italy
258,Viale Ceccarini,49,60601,Rimini,RN,Italy
259,Viale dei Mille,17,60601,Taranto,TA,Italy
260,Via dei Serpenti,76,77001,Trieste,TS,Italy
261,Viale dell'Arte,5,2374,Bolzano,BZ,Italy
262,Piazza Navona,178,46731,Naples,NA,Italy
263,Via Manzoni,145,77001,Bolzano,BZ,Italy
264,Via Garibaldi,131,60601,Catania,CT,Italy
265,Viale delle Milizie,7,77001,Ravenna,RA,Italy
266,Vicolo delle Erbe,21,10001,Livorno,LI,Italy
267,Via dei Fori Imperiali,167,90001,Ferrara,FE,Italy
268,Via Margutta,138,60601,Catania,CT,Italy
269,Via Dante,177,90001,Palermo,PA,Italy
270,Viale Milano,23,85001,Milan,MI,Italy
271,Viale dei Colli Portuensi,70,2374,Venice,VE,Italy
272,Via Panisperna,51,90001,Siracusa,SR,Italy
273,Via Flaminia,44,46731,Forlì,FC,Italy
274,Viale delle Milizie,190,77001,Foggia,FG,Italy
275,Via dei Serpenti,132,90001,Padua,PD,Italy
276,Vicolo Fiori,117,46731,Florence,FI,Italy
277,Piazza San Marco,167,2374,Udine,UD,Italy
278,Via Roma,16,60601,Siracusa,SR,Italy
279,Via Montenapoleone,64,90001,Turin,TO,Italy
280,Vicolo Fiori,9,90001,Trieste,TS,Italy
281,Via Flaminia,79,46731,Reggio Emilia,RE,Italy
282,Piazza di Spagna,189,60601,Arezzo,AR,Italy
283,Via della Repubblica,65,2374,Giugliano in Campania,NA,Italy
284,Via Margutta,77,90001,Andria,BT,Italy
285,Vicolo delle Erbe,40,60601,Ancona,AN,Italy
286,Corso Garibaldi,3,10001,Sassari,SS,Italy
287,Via Margutta,134,69696,Genoa,GE,Italy
288,Viale Milano,17,77001,Prato,PO,Italy
289,Corso Italia,158,90001,Rimini,RN,Italy
290,Viale Trastevere,79,2374,Vicenza,VI,Italy
291,Via della Mosca,171,90001,Taranto,TA,Italy
292,Corso Italia,84,10001,Giugliano in Campania,NA,Italy
293,Viale delle Milizie,79,10001,Salerno,SA,Italy
294,Corso Italia,88,77001,Catania,CT,Italy
295,Via Dante,119,69696,Giugliano in Campania,NA,Italy
296,Via Flaminia,33,46731,Modena,MO,Italy
297,Viale dell'Arte,197,85001,Messina,ME,Italy
298,Piazza di Spagna,66,90001,Ravenna,RA,Italy
299,Corso Buenos Aires,191,2374,Giugliano in Campania,NA,Italy
300,Corso Venezia,127,69696,Latina,LT,Italy
301,Via Dante,174,77001,Udine,UD,Italy
302,Viale dell'Arte,45,10001,Monza,MB,Italy
303,Viale dei Colli Portuensi,53,2374,Terni,TR,Italy
304,Via della Mosca,155,46731,Ferrara,FE,Italy
305,Via della Repubblica,50,90001,Rome,RM,Italy
306,Viale Parioli,195,2374,Ravenna,RA,Italy
307,Corso Vittorio Emanuele,80,60601,Brescia,BS,Italy
308,Via dei Condotti,26,20158,Genoa,GE,Italy
309,Piazza del Popolo,163,77001,Sassari,SS,Italy
310,Via Margutta,197,77001,Pescara,PE,Italy
311,Via dei Condotti,167,10001,Bari,BA,Italy
312,Via Montenapoleone,198,85001,Trieste,TS,Italy
313,Via XX Settembre,150,69696,Bolzano,BZ,Italy
314,Via Giulia,178,90001,Monza,MB,Italy
315,Via del Corso,45,77001,Taranto,TA,Italy
316,Vicolo Stretto,133,69696,Perugia,PG,Italy
317,Via Manzoni,136,69696,Forlì,FC,Italy
318,Via del Corso,188,90001,Reggio Calabria,RC,Italy
319,Corso Vittorio Emanuele,100,2374,Siracusa,SR,Italy
320,Via della Fortezza,164,60601,Trento,TN,Italy
321,Vicolo Stretto,109,90001,Andria,BT,Italy
322,Via Tiburtina,106,46731,Padua,PD,Italy
323,Via Cavour,122,85001,Forlì,FC,Italy
324,Corso Magenta,97,46731,Prato,PO,Italy
325,Via Cavour,164,2374,Ferrara,FE,Italy
326,Vicolo delle Erbe,178,60601,Naples,NA,Italy
327,Via dei Fori Imperiali,134,77001,Taranto,TA,Italy
328,Vicolo Fiori,192,20158,Catania,CT,Italy
329,Via Tiburtina,45,2374,Prato,PO,Italy
330,Corso Vittorio Emanuele,193,46731,Verona,VR,Italy
331,Via dei Serpenti,133,2374,Venice,VE,Italy
332,Via Margutta,114,2374,Andria,BT,Italy
333,Corso Venezia,120,85001,Pescara,PE,Italy
334,Corso Venezia,164,10001,Monza,MB,Italy
335,Via della Mosca,148,69696,Trento,TN,Italy
336,Via Appia Antica,186,46731,Arezzo,AR,Italy
337,Via Tiburtina,94,77001,Latina,LT,Italy
338,Via della Croce,149,20158,Padua,PD,Italy
339,Piazza di Spagna,116,69696,Bolzano,BZ,Italy
340,Viale dell'Arte,193,69696,Naples,NA,Italy
341,Via del Corso,144,46731,Foggia,FG,Italy
342,Via Flaminia,12,85001,Arezzo,AR,Italy
343,Vicolo Fiori,49,90001,Cesena,FC,Italy
344,Corso Umberto I,175,77001,Florence,FI,Italy
345,Via del Tritone,107,46731,Reggio Emilia,RE,Italy
346,Corso Italia,131,2374,Arezzo,AR,Italy
347,Vicolo Stretto,41,90001,Catania,CT,Italy
348,Viale dell'Arte,173,46731,Milan,MI,Italy
349,Via del Tritone,165,85001,Sassari,SS,Italy
350,Corso Vittorio Emanuele,186,60601,Bergamo,BG,Italy
351,Via Montenapoleone,83,85001,Arezzo,AR,Italy
352,Via della Fortezza,173,20158,Rome,RM,Italy
353,Corso Garibaldi,134,69696,Turin,TO,Italy
354,Via della Fortezza,130,60601,Arezzo,AR,Italy
355,Viale Milano,174,2374,Siracusa,SR,Italy
356,Via della Fortezza,127,20158,Brescia,BS,Italy
357,Via della Repubblica,10,20158,Catania,CT,Italy
358,Via della Fortezza,155,69696,Reggio Calabria,RC,Italy
359,Corso Venezia,19,77001,Reggio Emilia,RE,Italy
360,Vicolo delle Palle,31,20158,Milan,MI,Italy
361,Via Tiburtina,41,2374,Taranto,TA,Italy
362,Viale delle Milizie,138,2374,Padua,PD,Italy
363,Corso Vittorio Emanuele,92,60601,Trieste,TS,Italy
364,Via del Tritone,195,69696,Florence,FI,Italy
365,Via Manzoni,79,90001,Novara,NO,Italy
366,Via Appia Antica,162,20158,Foggia,FG,Italy
367,Corso Buenos Aires,24,20158,Prato,PO,Italy
368,Via della Repubblica,6,77001,Piacenza,PC,Italy
369,Piazza di Spagna,115,60601,Florence,FI,Italy
370,Viale delle Milizie,63,90001,Monza,MB,Italy
371,Piazza San Marco,77,77001,Vicenza,VI,Italy
372,Viale Trastevere,95,90001,Naples,NA,Italy
373,Corso Vittorio Emanuele,135,46731,Bergamo,BG,Italy
374,Vicolo delle Palle,5,69696,Monza,MB,Italy
375,Via Margutta,60,90001,Terni,TR,Italy
376,Viale Trastevere,102,20158,Terni,TR,Italy
377,Vicolo Fiori,48,46731,Rome,RM,Italy
378,Vicolo delle Palle,46,20158,Bolzano,BZ,Italy
379,Via della Mosca,106,60601,Sassari,SS,Italy
380,Corso Garibaldi,159,10001,Genoa,GE,Italy
381,Via Manzoni,157,85001,Ancona,AN,Italy
382,Viale delle Milizie,46,60601,Brescia,BS,Italy
383,Via del Tritone,49,20158,Milan,MI,Italy
384,Corso Magenta,81,60601,Florence,FI,Italy
385,Via Appia Antica,117,77001,Rimini,RN,Italy
386,Corso Venezia,108,90001,Trieste,TS,Italy
387,Corso Garibaldi,173,85001,Perugia,PG,Italy
388,Viale Ceccarini,87,60601,Bologna,BO,Italy
389,Via Flaminia,150,77001,Terni,TR,Italy
390,Viale Trastevere,30,90001,Reggio Calabria,RC,Italy
391,Via della Moscova,17,77001,Padua,PD,Italy
392,Via Panisperna,20,2374,Bolzano,BZ,Italy
393,Via dei Fori Imperiali,96,85001,Bolzano,BZ,Italy
394,Via dei Serpenti,30,2374,Livorno,LI,Italy
395,Via Cavour,39,60601,Palermo,PA,Italy
396,Via Flaminia,138,46731,Giugliano in Campania,NA,Italy
397,Corso Italia,147,77001,Ancona,AN,Italy
398,Via della Fortezza,31,2374,Pescara,PE,Italy
399,Viale dell'Arte,62,77001,Messina,ME,Italy
400,Corso Italia,166,2374,Florence,FI,Italy
401,Via Cavour,2,77001,Reggio Calabria,RC,Italy
402,Via dei Fori Imperiali,164,10001,Foggia,FG,Italy
403,Vicolo Stretto,35,69696,Turin,TO,Italy
404,Viale dei Colli Portuensi,21,46731,Udine,UD,Italy
405,Via dei Greci,126,69696,Novara,NO,Italy
406,Via Dante,113,10001,Modena,MO,Italy
407,Vicolo Stretto,75,60601,Venice,VE,Italy
408,Via Margutta,20,69696,Cesena,FC,Italy
409,Viale Ceccarini,156,90001,Reggio Calabria,RC,Italy
410,Viale dei Traghetti,86,69696,Milan,MI,Italy
411,Corso Garibaldi,172,46731,Cagliari,CA,Italy
412,Via Appia Antica,191,69696,Padua,PD,Italy
413,Viale dei Colli Portuensi,162,69696,Arezzo,AR,Italy
414,Via dei Serpenti,12,90001,Andria,BT,Italy
415,Via XX Settembre,7,77001,Trento,TN,Italy
416,Viale Ceccarini,8,20158,Genoa,GE,Italy
417,Vicolo delle Erbe,77,60601,Novara,NO,Italy
418,Vicolo delle Palle,106,77001,Arezzo,AR,Italy
419,Viale dell'Arte,200,20158,Modena,MO,Italy
420,Corso Italia,144,46731,Monza,MB,Italy
421,Viale Trastevere,120,20158,Verona,VR,Italy
422,Via Margutta,193,60601,Palermo,PA,Italy
423,Via della Croce,100,60601,Ravenna,RA,Italy
424,Via Flaminia,191,46731,Palermo,PA,Italy
425,Viale dell'Arte,83,69696,Piacenza,PC,Italy
426,Viale Parioli,79,10001,Latina,LT,Italy
427,Via dei Fori Imperiali,122,46731,Siracusa,SR,Italy
428,Corso Buenos Aires,183,60601,Novara,NO,Italy
429,Corso Venezia,193,77001,Padua,PD,Italy
430,Via Roma,110,69696,Bergamo,BG,Italy
431,Via della Mosca,60,46731,Milan,MI,Italy
432,Via dei Fori Imperiali,73,10001,Bari,BA,Italy
433,Vicolo delle Palle,191,2374,Rimini,RN,Italy
434,Via Manzoni,68,77001,Latina,LT,Italy
435,Viale Ceccarini,182,77001,Ancona,AN,Italy
436,Via della Croce,43,46731,Bologna,BO,Italy
437,Corso Umberto I,188,60601,Ancona,AN,Italy
438,Vicolo Fiori,24,20158,Messina,ME,Italy
439,Corso Magenta,23,77001,Messina,ME,Italy
440,Via XX Settembre,174,60601,Sassari,SS,Italy
441,Via Giulia,164,46731,Reggio Emilia,RE,Italy
442,Viale Parioli,17,10001,Monza,MB,Italy
443,Corso Magenta,159,46731,Pescara,PE,Italy
444,Via Flaminia,145,85001,Bergamo,BG,Italy
445,Via Roma,5,10001,Trento,TN,Italy
446,Via Dante,40,2374,Reggio Emilia,RE,Italy
447,Corso Italia,50,10001,Ancona,AN,Italy
448,Viale dei Colli Portuensi,184,77001,Bologna,BO,Italy
449,Corso Umberto I,72,77001,Bologna,BO,Italy
450,Via Appia Antica,34,90001,Ferrara,FE,Italy
451,Piazza di Spagna,13,77001,Foggia,FG,Italy
452,Viale delle Milizie,19,46731,Padua,PD,Italy
453,Piazza di Spagna,107,46731,Verona,VR,Italy
454,Vicolo delle Erbe,1,85001,Perugia,PG,Italy
455,Viale dell'Arte,26,60601,Prato,PO,Italy
456,Via della Mosca,70,77001,Sassari,SS,Italy
457,Via Panisperna,150,90001,Milan,MI,Italy
458,Via Roma,18,60601,Palermo,PA,Italy
459,Corso Umberto I,94,20158,Catania,CT,Italy
460,Via della Moscova,42,90001,Vicenza,VI,Italy
461,Via dei Serpenti,32,69696,Vicenza,VI,Italy
462,Viale Ceccarini,20,2374,Andria,BT,Italy
463,Viale Parioli,3,77001,Andria,BT,Italy
464,Vicolo Fiori,43,46731,Messina,ME,Italy
465,Via Flaminia,170,20158,Monza,MB,Italy
466,Via del Corso,164,20158,Bolzano,BZ,Italy
467,Viale delle Milizie,88,60601,Pescara,PE,Italy
468,Viale Ceccarini,141,85001,Piacenza,PC,Italy
469,Corso Buenos Aires,41,46731,Terni,TR,Italy
470,Viale dell'Arte,162,46731,Brescia,BS,Italy
471,Via della Fortezza,17,46731,Venice,VE,Italy
472,Via della Repubblica,16,2374,Brescia,BS,Italy
473,Vicolo Fiori,121,77001,Pescara,PE,Italy
474,Via Panisperna,189,90001,Reggio Emilia,RE,Italy
475,Corso Garibaldi,140,46731,Latina,LT,Italy
476,Viale Ceccarini,119,46731,Salerno,SA,Italy
477,Viale Trastevere,200,10001,Latina,LT,Italy
478,Viale Ceccarini,189,60601,Verona,VR,Italy
479,Vicolo Stretto,180,77001,Catania,CT,Italy
480,Via XX Settembre,110,60601,Salerno,SA,Italy
481,Via Garibaldi,38,46731,Venice,VE,Italy
482,Piazza del Popolo,15,77001,Modena,MO,Italy
483,Via Flaminia,168,77001,Sassari,SS,Italy
484,Via Cavour,29,46731,Modena,MO,Italy
485,Corso Buenos Aires,143,60601,Turin,TO,Italy
486,Via Flaminia,75,20158,Reggio Calabria,RC,Italy
487,Via dei Greci,132,90001,Pescara,PE,Italy
488,Viale dei Colli Portuensi,114,69696,Foggia,FG,Italy
489,Viale Trastevere,98,77001,Bologna,BO,Italy
490,Corso Vittorio Emanuele,124,46731,Cesena,FC,Italy
491,Via della Moscova,190,2374,Siracusa,SR,Italy
492,Via Dante,79,60601,Bologna,BO,Italy
493,Via Manzoni,176,60601,Milan,MI,Italy
494,Vicolo delle Palle,151,2374,Piacenza,PC,Italy
